0 [1.00e+00, 1.00e+00, 1.00e+00, 1.00e+00]
1 [9.99e-01, 9.99e-01, 1.00e+00, 9.99e-01]
2 [9.98e-01, 9.98e-01, 1.00e+00, 9.98e-01]
3 [9.98e-01, 9.97e-01, 1.00e+00, 9.97e-01]
4 [9.97e-01, 9.97e-01, 1.00e+00, 9.96e-01]
5 [9.97e-01, 9.96e-01, 1.00e+00, 9.96e-01]
6 [9.96e-01, 9.95e-01, 1.00e+00, 9.95e-01]
7 [9.96e-01, 9.95e-01, 1.01e+00, 9.95e-01]
8 [9.96e-01, 9.95e-01, 1.01e+00, 9.94e-01]
9 [9.95e-01, 9.94e-01, 1.01e+00, 9.94e-01]
10 [9.95e-01, 9.94e-01, 1.01e+00, 9.93e-01]
11 [9.95e-01, 9.94e-01, 1.01e+00, 9.93e-01]
12 [9.95e-01, 9.93e-01, 1.01e+00, 9.92e-01]
13 [9.95e-01, 9.93e-01, 1.01e+00, 9.92e-01]
14 [9.94e-01, 9.93e-01, 1.01e+00, 9.91e-01]
15 [9.94e-01, 9.93e-01, 1.01e+00, 9.91e-01]
16 [9.94e-01, 9.92e-01, 1.01e+00, 9.91e-01]
17 [9.94e-01, 9.92e-01, 1.01e+00, 9.90e-01]
18 [9.94e-01, 9.92e-01, 1.01e+00, 9.90e-01]
19 [9.93e-01, 9.92e-01, 1.01e+00, 9.90e-01]
20 [9.93e-01, 9.92e-01, 1.01e+00, 9.90e-01]
21 [9.93e-01, 9.92e-01, 1.01e+00, 9.89e-01]
22 [9.93e-01, 9.92e-01, 1.01e+00, 9.89e-01]
23 [9.93e-01, 9.91e-01, 1.01e+00, 9.89e-01]
24 [9.93e-01, 9.91e-01, 1.00e+00, 9.89e-01]
25 [9.93e-01, 9.91e-01, 1.00e+00, 9.89e-01]
26 [9.93e-01, 9.91e-01, 1.00e+00, 9.88e-01]
27 [9.93e-01, 9.91e-01, 1.00e+00, 9.88e-01]
28 [9.93e-01, 9.91e-01, 1.00e+00, 9.88e-01]
29 [9.92e-01, 9.91e-01, 1.00e+00, 9.88e-01]
30 [9.92e-01, 9.91e-01, 1.00e+00, 9.88e-01]
31 [9.92e-01, 9.91e-01, 1.00e+00, 9.88e-01]
32 [9.92e-01, 9.91e-01, 1.00e+00, 9.88e-01]
33 [9.92e-01, 9.91e-01, 1.00e+00, 9.88e-01]
34 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
35 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
36 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
37 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
38 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
39 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
40 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
41 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
42 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
43 [9.92e-01, 9.91e-01, 1.00e+00, 9.87e-01]
44 [9.92e-01, 9.90e-01, 1.00e+00, 9.87e-01]
45 [9.92e-01, 9.90e-01, 1.00e+00, 9.87e-01]
46 [9.92e-01, 9.90e-01, 9.99e-01, 9.87e-01]
47 [9.92e-01, 9.90e-01, 9.99e-01, 9.87e-01]
48 [9.92e-01, 9.90e-01, 9.99e-01, 9.87e-01]
49 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
50 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
51 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
52 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
53 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
54 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
55 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
56 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
57 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
58 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
59 [9.92e-01, 9.90e-01, 9.99e-01, 9.86e-01]
60 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
61 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
62 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
63 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
64 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
65 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
66 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
67 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
68 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
69 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
70 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
71 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
72 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
73 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
74 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
75 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
76 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
77 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
78 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
79 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
80 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
81 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
82 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
83 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
84 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
85 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
86 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
87 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
88 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
89 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
90 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
91 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
92 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
93 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
94 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
95 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
96 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
97 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
98 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
99 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
100 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
101 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
102 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
103 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
104 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
105 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
106 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
107 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
108 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
109 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
110 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
111 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
112 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
113 [9.92e-01, 9.90e-01, 9.98e-01, 9.86e-01]
